seq,vx,vy,avg,ate,rte
a006_2,0.012909,0.018129,0.015519,3.843665,2.867034
a019_3,0.072478,0.040962,0.056720,5.953241,5.378958
a024_1,0.060038,0.051800,0.055919,2.439851,2.222438
a024_3,0.034221,0.022183,0.028202,3.239928,2.454434
a029_1,0.108412,0.049141,0.078776,4.167449,6.871495
a029_2,0.012163,0.009754,0.010959,2.799366,1.892929
a032_1,0.027490,0.026857,0.027173,3.613133,4.926451
a032_3,0.093912,0.105058,0.099485,14.603213,6.787858
a042_2,0.046112,0.032228,0.039170,4.668771,5.054253
a049_1,0.054717,0.065133,0.059925,4.309207,6.344181
a049_2,0.016818,0.013340,0.015079,2.240766,2.364747
a049_3,0.012346,0.013938,0.013142,2.136302,2.359643
a050_1,0.051034,0.048577,0.049805,10.288030,6.277725
a050_3,0.061191,0.104476,0.082833,13.849707,7.361011
a051_1,0.033351,0.037902,0.035626,6.490041,4.917007
a051_2,0.008919,0.009336,0.009128,3.477512,1.366791
a051_3,0.017701,0.011692,0.014696,1.356211,1.526227
a052_2,0.077617,0.101398,0.089507,4.977903,7.693131
a053_1,0.025685,0.015791,0.020738,2.957206,3.828379
a053_2,0.008513,0.012668,0.010590,4.627539,2.345107
a053_3,0.007651,0.012032,0.009842,4.198560,2.266219
a054_1,0.039620,0.022627,0.031123,2.883220,3.960119
a054_2,0.018194,0.015152,0.016673,2.418334,2.740892
a054_3,0.032257,0.034727,0.033492,5.237608,3.859691
a055_2,0.079971,0.083045,0.081508,7.216413,5.019533
a055_3,0.091392,0.093624,0.092508,8.786924,5.295276
a057_1,0.089978,0.074229,0.082104,7.276440,8.009523
a057_2,0.032747,0.031517,0.032132,4.591119,3.137032
a057_3,0.045873,0.044336,0.045104,9.998278,4.666117
a058_1,0.111947,0.025584,0.068766,4.595408,8.807840
a058_2,0.008824,0.011770,0.010297,2.377448,2.942965
a058_3,0.031657,0.043529,0.037593,2.860267,4.517720
