seq,ate,rte
a006_2,17.231214,20.364741
a019_3,18.397865,16.986927
a024_1,19.416813,18.230047
a024_3,13.560229,10.966005
a029_1,15.066298,19.763799
a029_2,8.548544,11.322336
a032_1,43.564855,45.829811
a032_3,55.764376,43.939713
a042_2,21.689538,22.184109
a049_1,17.981902,24.063769
a049_2,21.423797,29.088155
a049_3,18.299211,22.223992
a050_1,35.621355,24.679085
a050_3,38.704321,19.096914
a051_1,39.937403,25.181758
a051_2,17.063285,12.615413
a051_3,17.329930,14.515842
a052_2,17.308679,18.467827
a053_1,14.913297,22.816083
a053_2,17.469954,25.294526
a053_3,20.685279,23.199151
a054_1,29.592330,22.550588
a054_2,14.958633,18.358909
a054_3,14.962801,19.045729
a055_2,30.291218,44.323954
a055_3,28.250044,41.028152
a057_1,14.610837,16.019700
a057_2,37.464883,12.261069
a057_3,27.214070,21.954064
a058_1,19.730043,27.923812
a058_2,21.289490,18.281136
a058_3,23.306144,25.720293
